City,Country,Max Temp(F),Cloudiness,Humidity,Wind Speed,Latitude,Longitude,Date
Gualeguay,AR,67.66,0,66,9.1,-33.15,-59.31,1553095067
Tynda,RU,2.77,48,79,2.62,55.15,124.74,1553095067
Gimli,CA,35.01,0,88,5.01,50.63,-96.99,1553094646
Touros,BR,89.6,75,62,10.29,-5.2,-35.46,1553090400
Adrar,DZ,80.6,0,23,11.41,27.87,-0.29,1553090400
Vanavara,RU,16.27,76,75,4.85,60.35,102.28,1553095068
Mitsamiouli,KM,91.4,40,55,10.29,-11.38,43.28,1553090400
Krasnokamensk,RU,10.06,0,56,4.18,50.1,118.04,1553094982
Kharan,PK,59.29,0,31,2.73,28.58,65.42,1553095069
Samoylovka,RU,30.99,64,98,1.01,51.19,43.71,1553094244
Palmer,AU,69.01,0,68,12.75,-34.85,139.16,1553095036
Sibu,MY,78.8,75,94,2.24,2.29,111.83,1553090400
Cabra,ES,68.0,0,53,4.7,37.47,-4.43,1553095021
Solnechnyy,RU,0.61,12,62,3.62,50.72,136.64,1553095072
Te Anau,NZ,52.72,8,100,2.39,-45.41,167.72,1553095072
Aripuana,BR,89.44,8,69,2.95,-9.17,-60.63,1553095072
Le Port,FR,59.0,0,36,2.17,42.87,1.37,1553095037
Bako,NG,98.35,8,42,4.18,9.68,6.4,1553095073
Weymouth,US,46.99,0,35,6.93,42.22,-70.94,1553095073
Nizhnyaya Tavda,RU,21.76,0,81,11.45,57.67,66.17,1553095074
Ambilobe,MG,74.41,80,100,2.62,-13.19,49.05,1553095074
Hutchinson,US,46.0,40,70,11.41,38.06,-97.93,1553095028
Ashcroft,AU,69.8,40,88,9.17,-33.91,150.9,1553094967
Mangai,CD,83.05,32,72,3.62,-4.07,19.59,1553095075
Luchegorsk,RU,30.4,92,59,5.97,46.44,134.3,1553095076
Fort Nelson,CA,23.0,40,85,2.24,58.81,-122.69,1553090400
Lujan,AR,59.47,0,34,4.41,-46.57,-67.67,1553095076
Maturin,VE,83.86,68,62,6.64,9.75,-63.18,1553095077
Tezu,IN,50.2,88,91,1.95,27.93,96.16,1553095077
Gravdal,NO,48.0,0,81,10.29,59.79,5.78,1553095022
Luganville,VU,83.32,88,97,7.87,-15.51,167.18,1553095077
Miri,NG,99.52,24,18,4.18,10.31,9.75,1553095078
Chapais,CA,30.2,75,58,16.11,49.78,-74.86,1553090400
Labuhan,ID,76.12,68,83,2.28,-2.54,115.51,1553095078
Terrace,CA,33.8,5,86,12.75,54.52,-128.61,1553094178
Palauig,PH,76.03,0,88,2.39,15.44,119.9,1553095079
Beloha,MG,81.88,88,56,10.45,-25.17,45.06,1553095079
Kiama,AU,69.01,75,100,4.7,-34.67,150.86,1553095026
Acapulco,MX,80.6,5,74,4.7,16.86,-99.88,1553093340
San Rafael,AR,56.5,64,32,4.63,-34.61,-68.33,1553094880
Collie,AU,72.0,48,45,12.8,-33.36,116.15,1553094934
ChengDe,CN,43.72,92,96,3.06,40.97,117.93,1553095081
Neiafu,TO,71.6,40,94,8.99,-18.65,-173.98,1553090400
Mercedes,UY,66.49,0,83,10.78,-33.25,-58.03,1553095082
Mastic Beach,US,48.99,1,85,5.82,40.77,-72.85,1553094800
Kaiyuan,CN,44.8,92,87,4.41,42.54,124.04,1553095083
Xai-Xai,MZ,88.36,8,70,7.2,-25.04,33.64,1553095083
Prado,BR,83.23,80,93,13.02,-17.34,-39.22,1553095084
Shu,KZ,48.85,0,42,16.71,43.6,73.76,1553095084
Salamiyah,SY,66.67,0,26,3.74,35.01,37.05,1553095084
Dicabisagan,PH,70.36,56,100,3.85,17.08,122.42,1553095084
Khasan,RU,40.39,80,79,5.64,42.43,130.64,1553095085
Hobyo,SO,81.07,64,82,15.37,5.35,48.53,1553095085
Hermosillo,MX,66.0,5,44,2.95,29.09,-110.96,1553094797
Boa Vista,BR,93.2,20,38,12.75,2.82,-60.67,1553094000
Maniitsoq,GL,1.15,20,100,12.01,65.42,-52.9,1553095088
Strezhevoy,RU,32.0,0,73,13.42,60.73,77.6,1553092200
Hami,CN,31.3,0,66,4.74,42.84,93.51,1553095088
Danjiangkou,CN,60.01,48,53,3.0,32.54,111.51,1553094895
Miyako,JP,64.99,75,67,11.41,33.63,130.94,1553095083
Mathbaria,BD,75.76,0,83,4.18,22.29,89.96,1553095004
Husavik,CA,35.01,0,88,5.99,50.56,-96.99,1553094947
Viedma,AR,64.24,0,59,7.43,-40.81,-62.99,1553095090
Gashua,NG,106.54,0,12,7.54,12.87,11.04,1553095090
Balikpapan,ID,82.4,20,88,4.7,-1.24,116.86,1553092200
Terrace Bay,CA,32.0,90,96,3.36,48.78,-87.1,1553090400
Sri Aman,MY,78.8,56,94,3.51,1.24,111.46,1553090400
Nsanje,MZ,77.11,44,92,3.85,-16.92,35.26,1553095091
Bitung,ID,77.0,40,94,2.24,1.44,125.19,1553092200
Meybod,IR,66.2,0,14,4.7,32.25,54.02,1553092200
Genhe,CN,-2.37,0,54,3.18,50.78,121.52,1553095092
Methoni,GR,63.0,20,67,13.24,36.82,21.7,1553094951
Severo-Kurilsk,RU,23.65,64,100,12.68,50.68,156.12,1553095092
Zaraza,VE,91.69,0,47,13.58,9.35,-65.33,1553095092
Gurlan,UZ,57.2,90,58,4.7,41.84,60.39,1553092200
Kuryk,KZ,47.59,92,80,8.77,43.18,51.68,1553095093
Havre-Saint-Pierre,CA,26.6,75,68,24.16,50.23,-63.6,1553093580
Paralia,GR,68.0,20,49,9.17,40.27,22.6,1553095088
San Carlos de Bariloche,AR,53.6,0,32,2.06,-41.13,-71.31,1553090400
Chicama,PE,69.8,20,83,10.29,-7.84,-79.15,1553090400
Codigoro,IT,55.99,0,35,17.16,44.83,12.11,1553095059
Vila Velha,BR,88.0,75,66,8.05,-3.71,-38.6,1553095092
Zaysan,KZ,12.4,0,81,0.72,47.47,84.87,1553095095
Kenitra,MA,73.4,0,18,11.41,34.26,-6.57,1553095030
Misratah,LY,66.67,0,70,10.78,32.38,15.09,1553095096
Iberia,PE,75.76,100,97,2.95,-11.41,-69.49,1553095096
Arman,RU,-3.45,8,60,7.2,59.7,150.17,1553095096
Constitucion,MX,53.6,5,27,8.05,23.99,-104.67,1553094616
Havoysund,NO,32.0,90,86,17.22,71.0,24.66,1553093400
Punta Alta,AR,71.6,90,77,5.82,-27.46,-55.82,1553094000
Parabel,RU,27.97,20,85,7.65,58.71,81.5,1553095098
Skibbereen,IE,57.2,75,87,11.41,51.55,-9.27,1553094000
Quimper,FR,55.99,90,93,3.36,48.0,-4.1,1553094787
Tingi,TZ,81.07,20,100,2.39,-11.3,35.03,1553095099
Mufumbwe,ZM,86.11,12,53,7.76,-13.68,24.8,1553095099
High Level,CA,26.6,20,73,2.62,58.52,-117.13,1553094000
Olinda,EC,84.2,75,74,4.7,-2.03,-79.75,1553095059
Morro Bay,US,53.6,90,93,5.41,35.37,-120.85,1553094824
Soe,EE,39.99,76,60,12.75,57.91,26.05,1553095096
Esso,RU,1.87,68,85,2.73,55.93,158.7,1553095101
Rondonopolis,BR,91.15,36,67,4.29,-16.46,-54.64,1553095101
Vitre,FR,57.99,90,62,2.24,48.12,-1.21,1553094725
Sioux Lookout,CA,33.8,90,88,4.7,50.1,-91.92,1553090400
Yarada,IN,82.4,20,74,9.17,17.65,83.27,1553092200
Egvekinot,RU,-27.03,8,40,1.72,66.32,-179.17,1553095102
Ulladulla,AU,66.2,75,100,4.7,-35.36,150.48,1553094924
Dunedin,NZ,60.01,80,98,2.84,-45.87,170.5,1553094692
Binzhou,CN,55.0,0,76,3.18,37.38,117.96,1553093794
Hakui,JP,62.01,75,66,4.7,36.89,136.78,1553094573
Shaunavon,CA,33.19,0,75,3.18,49.65,-108.41,1553095103
Bolshaya Sosnova,RU,34.0,76,94,7.65,57.67,54.6,1553095103
Faya,SA,73.4,20,40,13.87,18.39,42.45,1553090400
Lodja,CD,83.86,8,74,3.06,-3.52,23.6,1553095104
Xiongzhou,CN,66.99,24,93,2.24,32.34,118.83,1553095073
Ancud,CL,51.8,20,76,8.05,-41.87,-73.83,1553090400
Nang Rong,TH,91.0,32,58,8.77,14.64,102.79,1553094985
Goderich,CA,42.01,32,88,1.99,43.74,-81.71,1553094892
Villeneuve-sur-Lot,FR,63.0,0,31,10.29,44.41,0.7,1553095075
Trincomalee,LK,79.09,0,77,8.21,8.58,81.23,1553095105
Benicarlo,ES,57.99,0,52,5.99,40.42,0.43,1553094974
Luorong,CN,67.57,92,94,2.62,24.41,109.6,1553095106
Chaihe,CN,32.47,92,93,5.19,44.77,129.68,1553095106
Atar,MR,94.48,76,10,4.41,20.52,-13.05,1553094887
Lagos,NG,95.0,40,63,5.82,6.46,3.39,1553090400
Ossora,RU,5.47,92,90,9.66,59.24,163.07,1553095107
San Cristobal,EC,62.6,75,67,3.36,-0.39,-78.55,1553094965
Mizan Teferi,ET,82.24,36,37,2.28,6.99,35.58,1553095108
Mahon,IE,57.99,75,87,11.41,51.89,-8.4,1553094723
Xichang,CN,56.86,0,18,3.74,27.88,102.25,1553095108
Saint-Pierre,FR,57.2,75,54,8.05,48.95,4.24,1553095024
Amqui,CA,35.01,75,46,13.87,48.47,-67.43,1553094737
Velykoploske,UA,50.0,90,61,8.05,47.02,29.68,1553094578
Sambava,MG,84.49,8,98,12.57,-14.27,50.17,1553095109
Vestmanna,FO,41.0,92,86,14.99,62.16,-7.17,1553093400
Marfino,RU,41.0,75,69,11.18,56.07,37.56,1553094823
Kotelnikovo,RU,46.87,0,73,4.74,47.63,43.14,1553095111
Balod,IN,72.07,44,84,7.65,20.73,81.21,1553094813
Guarapari,BR,87.8,40,70,9.17,-20.67,-40.5,1553094266
Lingao,CN,74.59,20,82,3.18,19.91,109.69,1553095112
Bud,NO,46.4,75,65,25.28,62.91,6.91,1553095034
Lai,CN,34.99,64,76,1.61,27.82,91.75,1553095113
Juneau,US,33.8,75,75,3.51,58.3,-134.42,1553090160
Marktheidenfeld,DE,60.01,75,39,4.7,49.85,9.61,1553095053
Marawi,PH,77.0,0,88,5.01,8.0,124.29,1553095064
